country,danceability,energy,valence,tempo
IN,0.617,0.479,0.615,0.434
IN,0.763,0.587,0.794,0.312
IN,0.616,0.669,0.475,0.365
IN,0.575,0.845,0.439,0.248
IN,0.609,0.538,0.608,0.435
IN,0.848,0.512,0.881,0.514
IN,0.578,0.444,0.36,0.146
IN,0.575,0.81,0.751,0.596
IN,0.664,0.553,0.604,0.274
IN,0.612,0.595,0.435,0.274
IN,0.586,0.562,0.436,0.242
IN,0.728,0.494,0.558,0.301
IN,0.635,0.273,0.462,0.28
IN,0.698,0.334,0.694,0.243
IN,0.461,0.78,0.448,0.655
IN,0.575,0.541,0.27,0.205
IN,0.435,0.658,0.524,0.152
IN,0.61,0.926,0.861,0.663
IN,0.588,0.595,0.594,0.221
IN,0.742,0.627,0.356,0.221
IN,0.708,0.356,0.569,0.187
IN,0.271,0.726,0.532,0.207
IN,0.82,0.661,0.953,0.248
IN,0.385,0.464,0.15,0.477
IN,0.464,0.676,0.213,0.189
IN,0.596,0.584,0.45,0.509
IN,0.716,0.718,0.91,0.221
IN,0.468,0.658,0.534,0.208
IN,0.634,0.529,0.409,0.242
IN,0.656,0.551,0.329,0.35
IN,0.698,0.505,0.396,0.252
IN,0.674,0.516,0.602,0.355
IN,0.729,0.812,0.725,0.502
IN,0.669,0.683,0.726,0.254
IN,0.62,0.426,0.548,0.221
IN,0.524,0.515,0.368,0.648
IN,0.686,0.771,0.551,0.381
IN,0.562,0.519,0.415,0.397
IN,0.512,0.695,0.351,0.52
IN,0.762,0.826,0.667,0.221
IN,0.864,0.733,0.183,0.237
IN,0.74,0.795,0.647,0.258
IN,0.791,0.558,0.872,0.248
IN,0.529,0.451,0.309,0.243
IN,0.656,0.721,0.883,0.189
IN,0.786,0.54,0.82,0.317
IN,0.505,0.667,0.516,0.551
IN,0.577,0.574,0.436,0.242
IN,0.868,0.748,0.829,0.381
IN,0.483,0.468,0.319,0.466
IN,0.464,0.417,0.479,0.101
IN,0.591,0.599,0.728,0.231
IN,0.578,0.798,0.728,0.232
IN,0.796,0.455,0.352,0.274
IN,0.46,0.302,0.176,0.402
IN,0.701,0.638,0.813,0.69
IN,0.726,0.714,0.612,0.36
IN,0.77,0.838,0.187,0.253
IN,0.611,0.566,0.312,0.184
IN,0.22,0.362,0.198,0.128
IN,0.645,0.611,0.353,0.275
IN,0.682,0.344,0.548,0.301
IN,0.744,0.328,0.532,0.269
IN,0.376,0.643,0.646,0.468
IN,0.404,0.634,0.702,0.16
IN,0.302,0.493,0.457,0.215
IN,0.789,0.744,0.783,0.51
IN,0.701,0.76,0.69,0.296
IN,0.741,0.735,0.812,0.349
